KEY;GROUP;Atractividade;Transparência;Eficiência;Controlo;Estimulação;Inovação
0098a532;4;0,83;2;-0,25;0,75;0,5;0,25
014644f4;2;2,17;1,25;3;1,25;1;0,25
053f01f8;3;0,67;-0,75;1,25;-1,25;-0,25;1,25
09705fc7;1;2,67;1,5;2,25;1,25;3;-2,25
0a3e917c;3;0,17;-1,75;-0,5;0;0;0,75
0b594314;4;1,33;2,25;1;1;0,5;0,25
0f862da6;1;2;3;3;3;3;1,5
11034587;3;-1,67;-0,75;-0,5;0,75;-2,5;-0,5
122f990d;0;0,83;0;1,25;0,5;0,75;1,25
173d5880;0;2,17;0,5;1,25;2,25;2,5;0,75
284eaf3c;1;1,5;1,5;0,5;2,25;2,75;1,5
2f53b5d0;2;2,33;2,25;0,5;1,75;1,5;2
3f85840a;0;2;2,25;2,75;1,5;2,5;1,5
412994f9;3;-1,33;2,25;-0,75;0,75;0;-1,5
43064141;3;2,67;2,25;2,5;1,75;3;3
4c234bc9;2;1;-0,75;1,25;1;0,5;-0,5
53f94f84;4;2;1,5;1,5;1;1;-0,25
56127746;1;2,83;2,25;2,5;1,25;1,5;1
5a15fd33;0;2,67;2,75;2,25;2,75;1;2,5
5b8a61b1;3;0;1;0,25;2;0,25;-2,25
6b1464d1;0;2,67;3;2,75;2,25;3;0
73bbba55;3;-2;-1;-2,5;-0,75;-1,5;-2,75
75e991ed;1;1,67;2,5;1,5;1;1,25;1
8a73fe2a;1;2,33;2,25;2,75;1,75;2,75;1,75
8ad10311;3;-1,67;-1;-0,5;-2,5;-1;-1
8e314375;0;1;1,25;1;0,5;0,75;0,75
916a23c3;1;1;2,75;2,5;1,5;-0,5;-0,5
9df2a038;3;1,33;0;0,5;-0,25;-0,25;1,75
a39b856f;4;2,83;2,5;2;2;2,75;2,5
aa4d8ce7;3;0;-3;0;0;-1,5;-1,5
b50cfe1f;4;0,83;3;1,5;1,5;-0,75;-0,5
b5982209;2;2;1,75;1;1,75;2,5;1
b967a83f;2;2,83;3;2,5;1,5;1,25;1,25
bc3c7bb0;3;1,17;-1;0,25;0,5;0;-1,25
bcba3373;3;2,83;2;0,5;2,5;1,5;0,75
c48dbfd3;3;0,83;-0,25;1;0,75;0,5;0
c6e166e0;3;2;2,5;3;2,5;1,25;2
d17db9cf;0;1,17;1;1,25;0,25;1,5;0,75
d322ab45;3;0,67;0;0;-1,5;1,5;-1,25
d5f9a71d;3;2,33;0;-0,5;0,75;0,5;2,25
dea597d2;3;-0,5;1;1,5;-0,5;0;-1,5
e6e44572;3;0,67;0,75;1,25;0;0,25;1,5
edd26b86;4;1,67;2,5;1;1,5;1,25;0
f186d1fb;2;1,83;2,25;3;1;1;1,75
f74d2d3c;3;2,5;2,75;2,25;1,5;2,5;1,25
f9e84eda;4;2,67;3;3;1,25;2,5;2,5
fbc24dc0;3;3;1,75;2,5;0,75;3;1,5
fe955bfe;2;1,5;1,5;2,5;1;0,25;0
